"geo","time","mode","measure","value","value_indexed","value_delta"
"CZ",2012,"Navigation","VKM",66000,1,0
"CZ",2012,"Navigation","energy_consumption",214.79,1,0
"CZ",2012,"Navigation","intensity",0.00325439393939394,1,0
"CZ",2012,"Navigation","share_VKM",0.000405609705134036,1,0
"CZ",2012,"Navigation","share_energy_consumption",0.0228419518569627,1,0
"CZ",2012,"Rail","VKM",162652000,1,0
"CZ",2012,"Rail","energy_consumption",9188.522,1,0
"CZ",2012,"Rail","intensity",5.64919091065588e-05,1,0
"CZ",2012,"Rail","share_VKM",0.999594390294866,1,0
"CZ",2012,"Rail","share_energy_consumption",0.977158048143037,1,0
"CZ",2012,"Total","VKM",162718000,1,0
"CZ",2012,"Total","energy_consumption",9403.312,1,0
"CZ",2012,"Total","intensity",5.77890092061112e-05,1,0
"CZ",2012,"Total","share_VKM",1,1,0
"CZ",2012,"Total","share_energy_consumption",1,1,0
"CZ",2013,"Navigation","VKM",45000,0.681818181818182,-21000
"CZ",2013,"Navigation","energy_consumption",85.924,0.400037245681829,-128.866
"CZ",2013,"Navigation","intensity",0.00190942222222222,0.586721293666682,-0.00134497171717172
"CZ",2013,"Navigation","share_VKM",0.000286775811416226,0.707024037606447,-0.000118833893717809
"CZ",2013,"Navigation","share_energy_consumption",0.00942061940758991,0.412426200115569,-0.0134213324493728
"CZ",2013,"Rail","VKM",156872000,0.964464009049996,-5780000
"CZ",2013,"Rail","energy_consumption",9034.92,0.983283274502689,-153.602000000001
"CZ",2013,"Rail","intensity",5.75942169412005e-05,1.01951266742574,1.10230783464167e-06
"CZ",2013,"Rail","share_VKM",0.999713224188584,1.00011888211346,0.000118833893717807
"CZ",2013,"Rail","share_energy_consumption",0.99057938059241,1.01373506821632,0.0134213324493728
"CZ",2013,"Total","VKM",156917000,0.964349365159355,-5801000
"CZ",2013,"Total","energy_consumption",9120.844,0.969960796791598,-282.468000000001
"CZ",2013,"Total","intensity",5.81252764200182e-05,1.00581887833909,3.36267213907033e-07
"CZ",2013,"Total","share_VKM",1,1,0
"CZ",2013,"Total","share_energy_consumption",1,1,0
"CZ",2014,"Navigation","VKM",47000,0.712121212121212,-19000
"CZ",2014,"Navigation","energy_consumption",128.973,0.600460915312631,-85.817
"CZ",2014,"Navigation","intensity",0.00274410638297872,0.843200434268801,-0.000510287556415215
"CZ",2014,"Navigation","share_VKM",0.00030237330880035,0.745478485778414,-0.000103236396333686
"CZ",2014,"Navigation","share_energy_consumption",0.0141442065758448,0.619220575562736,-0.00869774528111796
"CZ",2014,"Rail","VKM",155390000,0.955352531785653,-7262000
"CZ",2014,"Rail","energy_consumption",8989.46,0.978335797639707,-199.062000000002
"CZ",2014,"Rail","intensity",5.78509556599524e-05,1.02405736635365,1.35904655339358e-06
"CZ",2014,"Rail","share_VKM",0.9996976266912,1.00010327828701,0.000103236396333695
"CZ",2014,"Rail","share_energy_consumption",0.985855793424155,1.00890106293209,0.008697745281118
"CZ",2014,"Total","VKM",155437000,0.955253874801804,-7281000
"CZ",2014,"Total","energy_consumption",9118.433,0.969704397769637,-284.879000000003
"CZ",2014,"Total","intensity",5.86632076017936e-05,1.01512741622831,8.7419839568245e-07
"CZ",2014,"Total","share_VKM",1,1,0
"CZ",2014,"Total","share_energy_consumption",1,1,1.11022302462516e-16
"CZ",2015,"Navigation","VKM",46000,0.696969696969697,-20000
"CZ",2015,"Navigation","energy_consumption",128.829,0.599790493039713,-85.961
"CZ",2015,"Navigation","intensity",0.00280063043478261,0.860568968274371,-0.00045376350461133
"CZ",2015,"Navigation","share_VKM",0.000292358635066512,0.72078806637504,-0.000113251070067524
"CZ",2015,"Navigation","share_energy_consumption",0.0140193597728853,0.613754895408023,-0.00882259208407747
"CZ",2015,"Rail","VKM",157295000,0.967064653370386,-5357000
"CZ",2015,"Rail","energy_consumption",9060.535,0.986070991613232,-127.987000000001
"CZ",2015,"Rail","intensity",5.76021806160399e-05,1.01965363761007,1.11027150948112e-06
"CZ",2015,"Rail","share_VKM",0.999707641364934,1.00011329702444,0.000113251070067544
"CZ",2015,"Rail","share_energy_consumption",0.985980640227115,1.00902882814182,0.00882259208407754
"CZ",2015,"Total","VKM",157341000,0.966955100234762,-5377000
"CZ",2015,"Total","energy_consumption",9189.364,0.977247591061532,-213.948000000002
"CZ",2015,"Total","intensity",5.84041286123769e-05,1.01064422828348,6.15119406265739e-07
"CZ",2015,"Total","share_VKM",1,1,0
"CZ",2015,"Total","share_energy_consumption",1,1,1.11022302462516e-16
"CZ",2016,"Navigation","VKM",47000,0.712121212121212,-19000
"CZ",2016,"Navigation","energy_consumption",171.828,0.799981377159086,-42.962
"CZ",2016,"Navigation","intensity",0.00365591489361702,1.12337810409574,0.000401520954223082
"CZ",2016,"Navigation","share_VKM",0.000294726280805167,0.726625317576594,-0.000110883424328868
"CZ",2016,"Navigation","share_energy_consumption",0.0183848000668507,0.80486992451333,-0.00445715179011202
"CZ",2016,"Rail","VKM",159423000,0.980147800211495,-3229000
"CZ",2016,"Rail","energy_consumption",9174.371,0.998459926416893,-14.1510000000017
"CZ",2016,"Rail","intensity",5.75473488768873e-05,1.01868302535745,1.05543977032847e-06
"CZ",2016,"Rail","share_VKM",0.999705273719195,1.00011092841797,0.000110883424328856
"CZ",2016,"Rail","share_energy_consumption",0.981615199933149,1.00456134173851,0.00445715179011219
"CZ",2016,"Total","VKM",159470000,0.980039086026131,-3248000
"CZ",2016,"Total","energy_consumption",9346.199,0.993926288950106,-57.113000000003
"CZ",2016,"Total","intensity",5.86078823603185e-05,1.01417005007452,8.18873154207348e-07
"CZ",2016,"Total","share_VKM",1,1,0
"CZ",2016,"Total","share_energy_consumption",1,1,1.11022302462516e-16
