"geo","time","sector","employment"
"DE",2000,"Agricult., forest. and fish.",765
"DE",2000,"Comm. and pub. services",27846
"DE",2000,"Construction",2888
"DE",2000,"Manufacturing",7840
"DE",2000,"Other industries",637
"DE",2001,"Agricult., forest. and fish.",734
"DE",2001,"Comm. and pub. services",27974
"DE",2001,"Construction",2695
"DE",2001,"Manufacturing",7853
"DE",2001,"Other industries",609
"DE",2002,"Agricult., forest. and fish.",716
"DE",2002,"Comm. and pub. services",28125
"DE",2002,"Construction",2548
"DE",2002,"Manufacturing",7684
"DE",2002,"Other industries",601
"DE",2003,"Agricult., forest. and fish.",705
"DE",2003,"Comm. and pub. services",28045
"DE",2003,"Construction",2429
"DE",2003,"Manufacturing",7484
"DE",2003,"Other industries",583
"DE",2004,"Agricult., forest. and fish.",703
"DE",2004,"Comm. and pub. services",28364
"DE",2004,"Construction",2349
"DE",2004,"Manufacturing",7368
"DE",2004,"Other industries",586
"DE",2005,"Agricult., forest. and fish.",679
"DE",2005,"Comm. and pub. services",28552
"DE",2005,"Construction",2270
"DE",2005,"Manufacturing",7244
"DE",2005,"Other industries",577
"DE",2006,"Agricult., forest. and fish.",663
"DE",2006,"Comm. and pub. services",28946
"DE",2006,"Construction",2266
"DE",2006,"Manufacturing",7165
"DE",2006,"Other industries",568
"DE",2007,"Agricult., forest. and fish.",664
"DE",2007,"Comm. and pub. services",29471
"DE",2007,"Construction",2305
"DE",2007,"Manufacturing",7274
"DE",2007,"Other industries",567
"DE",2008,"Agricult., forest. and fish.",659
"DE",2008,"Comm. and pub. services",29874
"DE",2008,"Construction",2295
"DE",2008,"Manufacturing",7457
"DE",2008,"Other industries",566
"DE",2009,"Agricult., forest. and fish.",653
"DE",2009,"Comm. and pub. services",30091
"DE",2009,"Construction",2310
"DE",2009,"Manufacturing",7278
"DE",2009,"Other industries",571
"DE",2010,"Agricult., forest. and fish.",645
"DE",2010,"Comm. and pub. services",30414
"DE",2010,"Construction",2329
"DE",2010,"Manufacturing",7142
"DE",2010,"Other industries",569
"DE",2011,"Agricult., forest. and fish.",651
"DE",2011,"Comm. and pub. services",30691
"DE",2011,"Construction",2370
"DE",2011,"Manufacturing",7285
"DE",2011,"Other industries",573
"DE",2012,"Agricult., forest. and fish.",649
"DE",2012,"Comm. and pub. services",31023
"DE",2012,"Construction",2403
"DE",2012,"Manufacturing",7413
"DE",2012,"Other industries",577
"DE",2013,"Agricult., forest. and fish.",642
"DE",2013,"Comm. and pub. services",31299
"DE",2013,"Construction",2417
"DE",2013,"Manufacturing",7438
"DE",2013,"Other industries",582
"DE",2014,"Agricult., forest. and fish.",640
"DE",2014,"Comm. and pub. services",31622
"DE",2014,"Construction",2430
"DE",2014,"Manufacturing",7481
"DE",2014,"Other industries",583
"DE",2015,"Agricult., forest. and fish.",635
"DE",2015,"Comm. and pub. services",31987
"DE",2015,"Construction",2428
"DE",2015,"Manufacturing",7512
"DE",2015,"Other industries",575
"DE",2016,"Agricult., forest. and fish.",624
"DE",2016,"Comm. and pub. services",32506
"DE",2016,"Construction",2449
"DE",2016,"Manufacturing",7534
"DE",2016,"Other industries",573
"DE",2017,"Agricult., forest. and fish.",608
"DE",2017,"Comm. and pub. services",33015
"DE",2017,"Construction",2483
"DE",2017,"Manufacturing",7603
"DE",2017,"Other industries",581
"DE",2018,"Agricult., forest. and fish.",606
"DE",2018,"Comm. and pub. services",33423
"DE",2018,"Construction",2526
"DE",2018,"Manufacturing",7731
"DE",2018,"Other industries",592
"DE",2019,"Agricult., forest. and fish.",599
"DE",2019,"Comm. and pub. services",33759
"DE",2019,"Construction",2559
"DE",2019,"Manufacturing",7773
"DE",2019,"Other industries",601
"DE",2020,"Agricult., forest. and fish.",586
"DE",2020,"Comm. and pub. services",33597
"DE",2020,"Construction",2593
"DE",2020,"Manufacturing",7586
"DE",2020,"Other industries",604
"DE",2021,"Agricult., forest. and fish.",579
"DE",2021,"Comm. and pub. services",33769
"DE",2021,"Construction",2615
"DE",2021,"Manufacturing",7470
"DE",2021,"Other industries",608
