"geo","time","activity_effect","structural_effect","intensity_effect","energy_consumption_var_obs","value_energy_consumption_total_baseline","value_energy_consumption_total_end","energy_consumption_var_calc"
"DE",2000,0,0,0,0,2587923.699,2587923.699,0
"DE",2001,49541.0010407953,93414.2402313398,-202288.055272135,-59332.8139999998,2587923.699,2528590.885,-59332.8140000002
"DE",2002,-54948.4271084111,30279.4219294481,-9948.80982103703,-34617.8149999995,2587923.699,2553305.884,-34617.8150000001
"DE",2003,-55815.7158504063,-91139.1154638678,168798.343314274,21843.5119999996,2587923.699,2609767.211,21843.5120000002
"DE",2004,29883.8773335354,-142453.899550221,189649.292216686,77079.27,2587923.699,2665002.969,77079.2699999999
"DE",2005,51502.0203986651,-163461.078458178,212988.055059513,101028.997,2587923.699,2688952.696,101028.997
"DE",2006,281966.915651353,-133249.251392777,-9789.63825857587,138928.026,2587923.699,2726851.725,138928.026
"DE",2007,370219.973072081,-334744.292189364,187747.657117282,223223.338,2587923.699,2811147.037,223223.338
"DE",2008,315446.146463341,-300517.65193597,170354.225472628,185282.720000001,2587923.699,2773206.419,185282.72
"DE",2009,-287341.506326609,-359652.520721,540644.522047609,-106349.505,2587923.699,2481574.194,-106349.505
"DE",2010,176837.097867067,-367273.698725014,301340.916857947,110904.316,2587923.699,2698828.015,110904.316
"DE",2011,402712.646228649,-460096.134661922,197189.297433273,139805.808999999,2587923.699,2727729.508,139805.809
"DE",2012,352990.653868125,-451342.223775542,200161.774907417,101810.205,2587923.699,2689733.904,101810.205
"DE",2013,348311.861512188,-427450.079808177,173794.538295989,94656.3199999998,2587923.699,2682580.019,94656.3200000002
"DE",2014,487077.424378401,-431674.525520047,214.92114164558,55617.8199999998,2587923.699,2643541.519,55617.8200000001
"DE",2015,512986.639723908,-506567.699585522,75142.2998616136,81561.2399999998,2587923.699,2669484.939,81561.2399999996
"DE",2016,622993.149168078,-579607.16456251,89729.0123944317,133114.997,2587923.699,2721038.696,133114.997
"DE",2017,710481.561694737,-582024.183863519,-22819.856831218,105637.521,2587923.699,2693561.22,105637.521
"DE",2018,746815.901834791,-614994.630556134,-41289.3812786574,90531.8899999992,2587923.699,2678455.589,90531.8899999996
"DE",2019,691099.810462497,-616440.358744733,-84779.2897177648,-10119.8379999995,2587923.699,2577803.861,-10119.8380000004
"DE",2020,469472.200961988,-657157.551674248,131002.45671226,-56682.8940000003,2587923.699,2531240.805,-56682.8939999998
"DE",2021,707155.250954611,-1335567.31032018,623963.64936557,-4448.40999999968,2587923.699,2583475.289,-4448.40999999945
