"geo","time","value_delta_total_res","value_energy_consumption_end","value_energy_consumption_baseline","population","household_size","weather","household_consumption","energy_consumption_delta_calc"
"DE",2005,0,2666297.117,2666297.117,0,0,0,0,0
"DE",2006,41452.7349999999,2707749.852,2666297.117,-3030.83513980652,0,0,44483.5701398068,41452.7350000003
"DE",2007,-336187.211,2330109.906,2666297.117,-6149.1679641334,0,0,-330038.043035867,-336187.211
"DE",2008,-42719.014,2623578.103,2666297.117,-11549.104798218,0,0,-31169.9092017817,-42719.0139999997
"DE",2009,-176629.003,2489668.114,2666297.117,-17782.210134707,125730.976231975,0,-284577.769097268,-176629.003
"DE",2010,6519.25399999972,2672816.371,2666297.117,-22510.7797108495,130248.047069034,272648.136905217,-373866.150263403,6519.2539999992
"DE",2011,-320841.339,2345455.778,2666297.117,-67489.9453082608,122094.918974203,-150010.86554299,-225435.447122953,-320841.339
"DE",2012,-188208.754,2478088.363,2666297.117,-64513.363693783,125441.693908164,-2778.25842745515,-246358.825786927,-188208.754000001
"DE",2013,-48809.0600000001,2617488.057,2666297.117,-59079.6868764353,128894.706580301,90217.9145968952,-208841.994300762,-48809.0600000005
"DE",2014,-420156.432,2246140.685,2666297.117,-44580.4903187476,119546.533835321,-279356.522494016,-215765.953022558,-420156.432
"DE",2015,-365239.204,2301057.913,2666297.117,-23645.2589911464,120960.339106289,-124844.056628792,-337710.22748635,-365239.204
"DE",2016,-281345.935,2384951.182,2666297.117,-3696.93773073197,123098.083665753,-71839.3183897698,-328907.762545251,-281345.935
"DE",2017,-289152.877,2377144.24,2666297.117,5722.95848143895,122900.241568628,-99009.1148389382,-318766.962211129,-289152.877
"DE",2018,-329126.56,2337170.557,2666297.117,13183.1464294252,121883.751113394,-203617.850727986,-260575.606814833,-329126.56
"DE",2019,-248711.953,2417585.164,2666297.117,19131.6909511009,123922.720744152,-193005.567220656,-198760.797474598,-248711.953000001
"DE",2020,-238799.732,2427497.385,2666297.117,21249.3603245077,124172.446818499,-232865.018474072,-151356.520668935,-238799.732000001
"DE",2021,-251678.823,2414618.294,2666297.117,22268.2434350428,123847.90674057,-13943.2709344676,-383851.702241145,-251678.823
