"geo","time","sector","employment"
"FR",2000,"Agricult., forest. and fish.",939
"FR",2000,"Comm. and pub. services",19457
"FR",2000,"Construction",1523
"FR",2000,"Manufacturing",3509
"FR",2000,"Other industries",262
"FR",2001,"Agricult., forest. and fish.",915
"FR",2001,"Comm. and pub. services",19789
"FR",2001,"Construction",1567
"FR",2001,"Manufacturing",3524
"FR",2001,"Other industries",264
"FR",2002,"Agricult., forest. and fish.",888
"FR",2002,"Comm. and pub. services",19970
"FR",2002,"Construction",1605
"FR",2002,"Manufacturing",3460
"FR",2002,"Other industries",264
"FR",2003,"Agricult., forest. and fish.",867
"FR",2003,"Comm. and pub. services",20067
"FR",2003,"Construction",1616
"FR",2003,"Manufacturing",3385
"FR",2003,"Other industries",263
"FR",2004,"Agricult., forest. and fish.",868
"FR",2004,"Comm. and pub. services",20186
"FR",2004,"Construction",1641
"FR",2004,"Manufacturing",3272
"FR",2004,"Other industries",264
"FR",2005,"Agricult., forest. and fish.",856
"FR",2005,"Comm. and pub. services",20380
"FR",2005,"Construction",1712
"FR",2005,"Manufacturing",3201
"FR",2005,"Other industries",266
"FR",2006,"Agricult., forest. and fish.",829
"FR",2006,"Comm. and pub. services",20682
"FR",2006,"Construction",1786
"FR",2006,"Manufacturing",3138
"FR",2006,"Other industries",267
"FR",2007,"Agricult., forest. and fish.",806
"FR",2007,"Comm. and pub. services",21045
"FR",2007,"Construction",1869
"FR",2007,"Manufacturing",3103
"FR",2007,"Other industries",267
"FR",2008,"Agricult., forest. and fish.",781
"FR",2008,"Comm. and pub. services",21199
"FR",2008,"Construction",1924
"FR",2008,"Manufacturing",3067
"FR",2008,"Other industries",258
"FR",2009,"Agricult., forest. and fish.",761
"FR",2009,"Comm. and pub. services",21052
"FR",2009,"Construction",1926
"FR",2009,"Manufacturing",2921
"FR",2009,"Other industries",263
"FR",2010,"Agricult., forest. and fish.",745
"FR",2010,"Comm. and pub. services",21253
"FR",2010,"Construction",1898
"FR",2010,"Manufacturing",2785
"FR",2010,"Other industries",267
"FR",2011,"Agricult., forest. and fish.",740
"FR",2011,"Comm. and pub. services",21483
"FR",2011,"Construction",1899
"FR",2011,"Manufacturing",2768
"FR",2011,"Other industries",267
"FR",2012,"Agricult., forest. and fish.",736
"FR",2012,"Comm. and pub. services",21600
"FR",2012,"Construction",1895
"FR",2012,"Manufacturing",2753
"FR",2012,"Other industries",270
"FR",2013,"Agricult., forest. and fish.",739
"FR",2013,"Comm. and pub. services",21684
"FR",2013,"Construction",1888
"FR",2013,"Manufacturing",2723
"FR",2013,"Other industries",274
"FR",2014,"Agricult., forest. and fish.",743
"FR",2014,"Comm. and pub. services",21856
"FR",2014,"Construction",1874
"FR",2014,"Manufacturing",2707
"FR",2014,"Other industries",273
"FR",2015,"Agricult., forest. and fish.",740
"FR",2015,"Comm. and pub. services",22027
"FR",2015,"Construction",1827
"FR",2015,"Manufacturing",2653
"FR",2015,"Other industries",274
"FR",2016,"Agricult., forest. and fish.",734
"FR",2016,"Comm. and pub. services",22285
"FR",2016,"Construction",1786
"FR",2016,"Manufacturing",2639
"FR",2016,"Other industries",275
"FR",2017,"Agricult., forest. and fish.",730
"FR",2017,"Comm. and pub. services",22650
"FR",2017,"Construction",1774
"FR",2017,"Manufacturing",2623
"FR",2017,"Other industries",271
"FR",2018,"Agricult., forest. and fish.",731
"FR",2018,"Comm. and pub. services",22902
"FR",2018,"Construction",1798
"FR",2018,"Manufacturing",2624
"FR",2018,"Other industries",273
"FR",2019,"Agricult., forest. and fish.",730
"FR",2019,"Comm. and pub. services",23095
"FR",2019,"Construction",1852
"FR",2019,"Manufacturing",2705
"FR",2019,"Other industries",280
"FR",2020,"Agricult., forest. and fish.",724
"FR",2020,"Comm. and pub. services",23030
"FR",2020,"Construction",1913
"FR",2020,"Manufacturing",2694
"FR",2020,"Other industries",285
"FR",2021,"Agricult., forest. and fish.",711
"FR",2021,"Comm. and pub. services",23693
"FR",2021,"Construction",1994
"FR",2021,"Manufacturing",2710
"FR",2021,"Other industries",287
