"geo","time","sector","energy_consumption"
"FR",2000,"Agricult., forest. and fish.",179974.769
"FR",2000,"Comm. and pub. services",781189.283
"FR",2000,"Construction",47676.656
"FR",2000,"Manufacturing",1617978.136
"FR",2000,"Other industries",174152.065
"FR",2001,"Agricult., forest. and fish.",183280.162
"FR",2001,"Comm. and pub. services",806168.186
"FR",2001,"Construction",55658.289
"FR",2001,"Manufacturing",1667370.061
"FR",2001,"Other industries",163007.617
"FR",2002,"Agricult., forest. and fish.",177219.164
"FR",2002,"Comm. and pub. services",768276.534
"FR",2002,"Construction",73772.184
"FR",2002,"Manufacturing",1586737.268
"FR",2002,"Other industries",168549.079
"FR",2003,"Agricult., forest. and fish.",174570.495
"FR",2003,"Comm. and pub. services",852892.055
"FR",2003,"Construction",71493.448
"FR",2003,"Manufacturing",1659675.769
"FR",2003,"Other industries",107354.934
"FR",2004,"Agricult., forest. and fish.",194402.291
"FR",2004,"Comm. and pub. services",879865.845
"FR",2004,"Construction",68062.339
"FR",2004,"Manufacturing",1611748.36
"FR",2004,"Other industries",108220.709
"FR",2005,"Agricult., forest. and fish.",193504.027
"FR",2005,"Comm. and pub. services",877842.801
"FR",2005,"Construction",65212.589
"FR",2005,"Manufacturing",1606944.482
"FR",2005,"Other industries",111558.636
"FR",2006,"Agricult., forest. and fish.",188526.5
"FR",2006,"Comm. and pub. services",850355.823
"FR",2006,"Construction",59003.337
"FR",2006,"Manufacturing",1538327.142
"FR",2006,"Other industries",109716.394
"FR",2007,"Agricult., forest. and fish.",183086.714
"FR",2007,"Comm. and pub. services",888901.686
"FR",2007,"Construction",52777.185
"FR",2007,"Manufacturing",1611331.265
"FR",2007,"Other industries",107752.917
"FR",2008,"Agricult., forest. and fish.",185726.203
"FR",2008,"Comm. and pub. services",898647.947
"FR",2008,"Construction",57607.033
"FR",2008,"Manufacturing",1635524.41
"FR",2008,"Other industries",102326.943
"FR",2009,"Agricult., forest. and fish.",190276.222
"FR",2009,"Comm. and pub. services",958361.766
"FR",2009,"Construction",44670.51
"FR",2009,"Manufacturing",1404439.693
"FR",2009,"Other industries",98310.51
"FR",2010,"Agricult., forest. and fish.",185967.984
"FR",2010,"Comm. and pub. services",1009140.718
"FR",2010,"Construction",47166.602
"FR",2010,"Manufacturing",1429440.773
"FR",2010,"Other industries",103545.107
"FR",2011,"Agricult., forest. and fish.",188117.844
"FR",2011,"Comm. and pub. services",872068.514
"FR",2011,"Construction",62217.027
"FR",2011,"Manufacturing",1384813.873
"FR",2011,"Other industries",147830.474
"FR",2012,"Agricult., forest. and fish.",184111.198
"FR",2012,"Comm. and pub. services",937326.922
"FR",2012,"Construction",61876.686
"FR",2012,"Manufacturing",1334968.36
"FR",2012,"Other industries",126178.326
"FR",2013,"Agricult., forest. and fish.",193152.589
"FR",2013,"Comm. and pub. services",966004.784
"FR",2013,"Construction",62437.765
"FR",2013,"Manufacturing",1316267.393
"FR",2013,"Other industries",116552.339
"FR",2014,"Agricult., forest. and fish.",189477.083
"FR",2014,"Comm. and pub. services",909517.539
"FR",2014,"Construction",59865.203
"FR",2014,"Manufacturing",1252271.952
"FR",2014,"Other industries",114118.413
"FR",2015,"Agricult., forest. and fish.",190356.239
"FR",2015,"Comm. and pub. services",939634.785
"FR",2015,"Construction",60503.644
"FR",2015,"Manufacturing",1242941.888
"FR",2015,"Other industries",114453.993
"FR",2016,"Agricult., forest. and fish.",184895.549
"FR",2016,"Comm. and pub. services",926207.697
"FR",2016,"Construction",61410.531
"FR",2016,"Manufacturing",1260743.321
"FR",2016,"Other industries",111714.96
"FR",2017,"Agricult., forest. and fish.",184973.935
"FR",2017,"Comm. and pub. services",951108.844
"FR",2017,"Construction",60700.027
"FR",2017,"Manufacturing",1238428.355
"FR",2017,"Other industries",112793.91
"FR",2018,"Agricult., forest. and fish.",188901.352
"FR",2018,"Comm. and pub. services",937869.396
"FR",2018,"Construction",62805.246
"FR",2018,"Manufacturing",1261111.734
"FR",2018,"Other industries",111400.976
"FR",2019,"Agricult., forest. and fish.",184448.792
"FR",2019,"Comm. and pub. services",916646.436
"FR",2019,"Construction",64616.086
"FR",2019,"Manufacturing",1228971.633
"FR",2019,"Other industries",110974.933
"FR",2020,"Agricult., forest. and fish.",196593.079
"FR",2020,"Comm. and pub. services",865827.679
"FR",2020,"Construction",59816.526
"FR",2020,"Manufacturing",1109682.609
"FR",2020,"Other industries",106521.54
"FR",2021,"Agricult., forest. and fish.",195180.989
"FR",2021,"Comm. and pub. services",904692.916
"FR",2021,"Construction",67730.124
"FR",2021,"Manufacturing",1188636.401
"FR",2021,"Other industries",106207.559
