"geo","time","activity_effect","structural_effect","intensity_effect","energy_consumption_var_obs","value_energy_consumption_total_baseline","value_energy_consumption_total_end","energy_consumption_var_calc"
"FR",2000,0,0,0,0,2800970.909,2800970.909,0
"FR",2001,40471.9474813981,-21990.4082514874,56031.8667700895,74513.4060000004,2800970.909,2875484.315,74513.4060000002
"FR",2002,53397.3269687609,-61303.9312094381,-18510.0757593226,-26416.6799999997,2800970.909,2774554.229,-26416.6799999998
"FR",2003,55402.5836985313,-99285.0528291587,108898.261130627,65015.7919999999,2800970.909,2865986.701,65015.7919999993
"FR",2004,58922.3788495055,-150719.195692922,153125.451843416,61328.6349999998,2800970.909,2862299.544,61328.6349999998
"FR",2005,78598.5767500402,-196924.554918707,172417.604168666,54091.6259999997,2800970.909,2855062.535,54091.6259999997
"FR",2006,107020.442898496,-245407.100866714,83344.9449682182,-55041.7130000009,2800970.909,2745929.196,-55041.7130000004
"FR",2007,149560.547578243,-297514.078210494,190832.388632251,42878.8579999995,2800970.909,2843849.767,42878.8579999998
"FR",2008,164981.808366222,-335584.731978601,249464.55061238,78861.6270000003,2800970.909,2879832.536,78861.6270000003
"FR",2009,128417.063205183,-364386.538245811,131057.267040628,-104912.208000001,2800970.909,2696058.701,-104912.208
"FR",2010,132820.521493797,-435204.291096633,276674.044602836,-25709.7249999996,2800970.909,2775261.184,-25709.7249999996
"FR",2011,151240.995887522,-453602.092635553,156437.919748031,-145923.177,2800970.909,2655047.732,-145923.177
"FR",2012,160405.880366402,-455984.18796856,139068.890602157,-156509.417,2800970.909,2644461.492,-156509.417
"FR",2013,165943.018951304,-468856.54593674,156357.487985436,-146556.038999999,2800970.909,2654414.87,-146556.039
"FR",2014,175976.74239599,-474547.886637444,22850.4252414544,-275720.719,2800970.909,2525250.19,-275720.719
"FR",2015,183229.247459128,-502420.56931715,66110.9618580215,-253080.36,2800970.909,2547890.549,-253080.36
"FR",2016,202271.175793508,-524181.594670135,65911.5678766268,-255998.851,2800970.909,2544972.058,-255998.851
"FR",2017,233656.906846112,-548574.495604677,61951.7507585651,-252965.838,2800970.909,2548005.071,-252965.838
"FR",2018,260894.756843157,-568677.055020989,68900.0931778321,-238882.205,2800970.909,2562088.704,-238882.204999999
"FR",2019,288980.440027388,-537550.355155949,-46743.1138714402,-295313.029,2800970.909,2505657.88,-295313.029
"FR",2020,277718.446462255,-520407.496666427,-219840.425795828,-462529.476,2800970.909,2338441.433,-462529.476
"FR",2021,352395.289476963,-570632.440188545,-120285.769288418,-338522.92,2800970.909,2462447.989,-338522.92
