"geo","time","product","energy_consumption","share_energy_consumption"
"FR",2000,"Coal",137617,0.0811689594254829
"FR",2000,"Oil",442864.3,0.261209257560439
"FR",2000,"Gas",531519.061,0.313499415742094
"FR",2000,"Biofuels and renewable wastes",65438,0.0385964987384171
"FR",2000,"Electricity",518000.4,0.305525868533567
"FR",2001,"Coal",131184.3,0.0753172425862489
"FR",2001,"Oil",479659.3,0.275388258022113
"FR",2001,"Gas",548865.342,0.31512173416025
"FR",2001,"Biofuels and renewable wastes",64328,0.0369328309949302
"FR",2001,"Electricity",517719.6,0.297239934236458
"FR",2002,"Coal",117629.8,0.0701116607192659
"FR",2002,"Oil",444688.7,0.265050720651497
"FR",2002,"Gas",540900.347,0.322396379249112
"FR",2002,"Biofuels and renewable wastes",65109,0.0388073440384213
"FR",2002,"Electricity",509421.6,0.303633895341704
"FR",2003,"Coal",117554.4,0.0671788144344383
"FR",2003,"Oil",419256.938,0.239592767588902
"FR",2003,"Gas",561584.358,0.320928620071772
"FR",2003,"Biofuels and renewable wastes",66697,0.0381153354220151
"FR",2003,"Electricity",584780.4,0.334184462482872
"FR",2004,"Coal",119758.9,0.0704880161137744
"FR",2004,"Oil",405850.453,0.238876553398926
"FR",2004,"Gas",510886.451,0.30069892417513
"FR",2004,"Biofuels and renewable wastes",67968,0.0400047886146334
"FR",2004,"Electricity",594532.8,0.349931717697536
"FR",2005,"Coal",126722.7,0.0749830186341535
"FR",2005,"Oil",342537.11,0.202682443650736
"FR",2005,"Gas",549522.241,0.325157500880148
"FR",2005,"Biofuels and renewable wastes",66557,0.0393824056087296
"FR",2005,"Non-renewable wastes",287,0.000169820611050759
"FR",2005,"Wind, solar, geothermal, etc.",3,1.77512833850968e-06
"FR",2005,"Electricity",604389.6,0.357623035486843
"FR",2006,"Coal",124388.7,0.0770417571152118
"FR",2006,"Oil",352740.598,0.218474471361069
"FR",2006,"Gas",533186.787,0.330236162457636
"FR",2006,"Biofuels and renewable wastes",50163,0.0310691056516418
"FR",2006,"Non-renewable wastes",382,0.000236596662060227
"FR",2006,"Wind, solar, geothermal, etc.",3,1.85808896905937e-06
"FR",2006,"Electricity",553698,0.342940048663412
"FR",2007,"Coal",132220,0.0787088583166163
"FR",2007,"Oil",345487.673,0.20566434960138
"FR",2007,"Gas",531822.134,0.316586847637623
"FR",2007,"Biofuels and renewable wastes",53685.115,0.031958055591032
"FR",2007,"Non-renewable wastes",355.115,0.000211395373023031
"FR",2007,"Wind, solar, geothermal, etc.",3,1.78586125359136e-06
"FR",2007,"Heat",58295.907,0.0347028005180884
"FR",2007,"Electricity",557992.8,0.332165907100983
"FR",2008,"Coal",124259.4,0.072928018666827
"FR",2008,"Oil",340250.249,0.19969335527505
"FR",2008,"Gas",559560.204,0.328406679917379
"FR",2008,"Biofuels and renewable wastes",51716.079,0.0303522403511292
"FR",2008,"Non-renewable wastes",367.079,0.000215439187411175
"FR",2008,"Wind, solar, geothermal, etc.",4,2.3476056915397e-06
"FR",2008,"Heat",63309.438,0.0371563992442449
"FR",2008,"Electricity",564397.2,0.331245519752267
"FR",2009,"Coal",95395.7,0.0652492408045428
"FR",2009,"Oil",311709.756,0.213204839739834
"FR",2009,"Gas",433030.206,0.296186224189715
"FR",2009,"Biofuels and renewable wastes",57232.668,0.0391462941853611
"FR",2009,"Non-renewable wastes",303.668,0.000207704398171342
"FR",2009,"Wind, solar, geothermal, etc.",5,3.41992567822988e-06
"FR",2009,"Heat",55357.078,0.0378634185047949
"FR",2009,"Electricity",508986,0.348138858251903
"FR",2010,"Coal",102485.7,0.068785025192413
"FR",2010,"Oil",267373.134,0.179452038264504
"FR",2010,"Gas",501880.243,0.336845483402361
"FR",2010,"Biofuels and renewable wastes",62089.838,0.0416726535606709
"FR",2010,"Non-renewable wastes",541.964,0.000363748380441183
"FR",2010,"Wind, solar, geothermal, etc.",5,3.35583526250067e-06
"FR",2010,"Heat",33144.95,0.0222457983967643
"FR",2010,"Electricity",522421.2,0.350631896967583
"FR",2011,"Coal",96873.202,0.0657600097680289
"FR",2011,"Oil",281840.171,0.191320324045683
"FR",2011,"Gas",522630.167,0.354774738291262
"FR",2011,"Biofuels and renewable wastes",52763.008,0.0358168807248736
"FR",2011,"Non-renewable wastes",14866.422,0.0100917078794984
"FR",2011,"Wind, solar, geothermal, etc.",8.501,5.77069645161532e-06
"FR",2011,"Heat",49006.205,0.03326666666282
"FR",2011,"Electricity",455144.739,0.308963901931382
"FR",2012,"Coal",100011.876,0.0703897432453512
"FR",2012,"Oil",228497.407,0.160819639169237
"FR",2012,"Gas",515161.604,0.36257787060632
"FR",2012,"Biofuels and renewable wastes",56471.96,0.0397457474446509
"FR",2012,"Non-renewable wastes",14207.353,0.00999933177801875
"FR",2012,"Wind, solar, geothermal, etc.",7.524,5.29549538874786e-06
"FR",2012,"Heat",50736.552,0.0357090878730683
"FR",2012,"Electricity",455735.967,0.320753284387965
"FR",2013,"Coal",91061.554,0.0649939097620428
"FR",2013,"Oil",210624.457,0.150330258496767
"FR",2013,"Gas",530420.067,0.378579899598185
"FR",2013,"Biofuels and renewable wastes",55156.104,0.0393668973209248
"FR",2013,"Non-renewable wastes",14557.678,0.0103903389379548
"FR",2013,"Wind, solar, geothermal, etc.",10.394,7.41857203608312e-06
"FR",2013,"Heat",50411.345,0.0359803919875254
"FR",2013,"Electricity",448836.661,0.320350885324564
"FR",2014,"Coal",78956.784,0.059216506662176
"FR",2014,"Oil",200085.481,0.150061370516828
"FR",2014,"Gas",497375.476,0.373024795287469
"FR",2014,"Biofuels and renewable wastes",51104.679,0.0383278093554553
"FR",2014,"Non-renewable wastes",14810.874,0.0111079526604535
"FR",2014,"Wind, solar, geothermal, etc.",17.222,1.29162641393296e-05
"FR",2014,"Heat",45903.209,0.034426778091212
"FR",2014,"Electricity",445103.956,0.333821871162266
"FR",2015,"Coal",84792.586,0.0640804539381674
"FR",2015,"Oil",196886.785,0.148793605106305
"FR",2015,"Gas",480091.833,0.36282066678149
"FR",2015,"Biofuels and renewable wastes",55677.363,0.042077153952117
"FR",2015,"Non-renewable wastes",14514.363,0.010968965726123
"FR",2015,"Wind, solar, geothermal, etc.",18.9,1.42833310854721e-05
"FR",2015,"Heat",50894.044,0.0384622476577028
"FR",2015,"Electricity",440344.871,0.33278262350701
"FR",2016,"Coal",78175.61,0.0582544633047853
"FR",2016,"Oil",187389.849,0.139638118362745
"FR",2016,"Gas",491714.33,0.366412931007793
"FR",2016,"Biofuels and renewable wastes",59420.689,0.0442787762947492
"FR",2016,"Non-renewable wastes",16623.815,0.0123876413743755
"FR",2016,"Wind, solar, geothermal, etc.",19.358,1.44250860422328e-05
"FR",2016,"Heat",59271.085,0.0441672952237573
"FR",2016,"Electricity",449352.996,0.334846349345753
"FR",2017,"Coal",102614.906,0.0778340067436783
"FR",2017,"Oil",176044.691,0.133530928406081
"FR",2017,"Gas",463434.661,0.351517902569908
"FR",2017,"Biofuels and renewable wastes",53623.715,0.0406739016545129
"FR",2017,"Non-renewable wastes",13662.07,0.0103627600507923
"FR",2017,"Wind, solar, geothermal, etc.",22.144,1.67963535953735e-05
"FR",2017,"Heat",64459.883,0.0488931985000182
"FR",2017,"Electricity",444519.32,0.337170505721413
"FR",2018,"Coal",111745.792,0.0832519476718255
"FR",2018,"Oil",166784.954,0.124256779734988
"FR",2018,"Gas",477594.937,0.355813923654976
"FR",2018,"Biofuels and renewable wastes",62075.726,0.0462471561581718
"FR",2018,"Non-renewable wastes",15357.793,0.0114417389353751
"FR",2018,"Wind, solar, geothermal, etc.",41.278,3.07526022635162e-05
"FR",2018,"Heat",61140.795,0.0455506214135903
"FR",2018,"Electricity",447519.118,0.333407079828809
"FR",2019,"Coal",98505.281,0.0751232482580932
"FR",2019,"Oil",160827.341,0.122652025779532
"FR",2019,"Gas",464700.052,0.354394982863354
"FR",2019,"Biofuels and renewable wastes",60342.005,0.0460187248438599
"FR",2019,"Non-renewable wastes",16355.538,0.0124732514754075
"FR",2019,"Wind, solar, geothermal, etc.",53.077,4.04782018518866e-05
"FR",2019,"Heat",67515.284,0.0514892946820554
"FR",2019,"Electricity",442950.38,0.337807993895847
"FR",2020,"Coal",78534.689,0.0661297484106136
"FR",2020,"Oil",142538.737,0.120024042071098
"FR",2020,"Gas",418746.927,0.352603789266009
"FR",2020,"Biofuels and renewable wastes",62927.598,0.0529878742350941
"FR",2020,"Non-renewable wastes",12815.003,0.0107908102147225
"FR",2020,"Wind, solar, geothermal, etc.",55.814,4.69979040445425e-05
"FR",2020,"Heat",63201.305,0.0532183478675577
"FR",2020,"Electricity",408764.802,0.34419839003086
"FR",2021,"Coal",91537.02,0.0718361136658599
"FR",2021,"Oil",137096.558,0.107590174157801
"FR",2021,"Gas",461587.824,0.36224333490036
"FR",2021,"Biofuels and renewable wastes",61244.769,0.0480634631466409
"FR",2021,"Non-renewable wastes",16171.469,0.0126909908715395
"FR",2021,"Wind, solar, geothermal, etc.",84.475,6.62940054408971e-05
"FR",2021,"Heat",72448.652,0.0568560086401144
"FR",2021,"Electricity",434077.175,0.340653620612243
