"geo","time","sector","energy_consumption"
"FR",2000,"Basic metals",219705.167
"FR",2000,"Chemical and petrochem.",228645.469
"FR",2000,"Coke and ref. pet. products",246659.846
"FR",2000,"Construction",47676.656
"FR",2000,"Food, bev. and tobacco",210758.804
"FR",2000,"Machinery",103576.927
"FR",2000,"Mining and quarrying",29783.969
"FR",2000,"Non-metallic minerals",155643.844
"FR",2000,"Other manufacturing",125038.462
"FR",2000,"Paper, pulp and printing",149574.869
"FR",2000,"Textile and leather",69584.45
"FR",2000,"Transport equipment",64874.098
"FR",2000,"Wood and wood products",43916.2
"FR",2001,"Basic metals",214112.495
"FR",2001,"Chemical and petrochem.",254619.506
"FR",2001,"Coke and ref. pet. products",243993.583
"FR",2001,"Construction",55658.289
"FR",2001,"Food, bev. and tobacco",217085.828
"FR",2001,"Machinery",103121.983
"FR",2001,"Mining and quarrying",18728.192
"FR",2001,"Non-metallic minerals",178024.291
"FR",2001,"Other manufacturing",128431.364
"FR",2001,"Paper, pulp and printing",142581.043
"FR",2001,"Textile and leather",76063.943
"FR",2001,"Transport equipment",64050.025
"FR",2001,"Wood and wood products",45286
"FR",2002,"Basic metals",216744.102
"FR",2002,"Chemical and petrochem.",237329.531
"FR",2002,"Coke and ref. pet. products",220096.894
"FR",2002,"Construction",73772.184
"FR",2002,"Food, bev. and tobacco",222336.817
"FR",2002,"Machinery",97826.292
"FR",2002,"Mining and quarrying",17239.995
"FR",2002,"Non-metallic minerals",183503.183
"FR",2002,"Other manufacturing",83017.34
"FR",2002,"Paper, pulp and printing",146197.14
"FR",2002,"Textile and leather",74089.84
"FR",2002,"Transport equipment",60683.329
"FR",2002,"Wood and wood products",44912.8
"FR",2003,"Basic metals",204345.274
"FR",2003,"Chemical and petrochem.",250351.786
"FR",2003,"Coke and ref. pet. products",224889.202
"FR",2003,"Construction",71493.448
"FR",2003,"Food, bev. and tobacco",220242.971
"FR",2003,"Machinery",97689.366
"FR",2003,"Mining and quarrying",18703.879
"FR",2003,"Non-metallic minerals",179808.927
"FR",2003,"Other manufacturing",153471.817
"FR",2003,"Paper, pulp and printing",146231.755
"FR",2003,"Textile and leather",73027.443
"FR",2003,"Transport equipment",62782.009
"FR",2003,"Wood and wood products",46835.219
"FR",2004,"Basic metals",208118.962
"FR",2004,"Chemical and petrochem.",218633.767
"FR",2004,"Coke and ref. pet. products",219572.555
"FR",2004,"Construction",68062.339
"FR",2004,"Food, bev. and tobacco",215697.911
"FR",2004,"Machinery",96632.901
"FR",2004,"Mining and quarrying",19185.905
"FR",2004,"Non-metallic minerals",178766.583
"FR",2004,"Other manufacturing",159251.008
"FR",2004,"Paper, pulp and printing",136674.181
"FR",2004,"Textile and leather",65114.275
"FR",2004,"Transport equipment",64235.205
"FR",2004,"Wood and wood products",49051.012
"FR",2005,"Basic metals",217930.569
"FR",2005,"Chemical and petrochem.",210870.297
"FR",2005,"Coke and ref. pet. products",178041.695
"FR",2005,"Construction",65212.589
"FR",2005,"Food, bev. and tobacco",180150.742
"FR",2005,"Machinery",88620.578
"FR",2005,"Mining and quarrying",17861.58
"FR",2005,"Non-metallic minerals",179638.971
"FR",2005,"Other manufacturing",313225.034
"FR",2005,"Paper, pulp and printing",137129.477
"FR",2005,"Textile and leather",23722.213
"FR",2005,"Transport equipment",58229.278
"FR",2005,"Wood and wood products",19385.628
"FR",2006,"Basic metals",216838.943
"FR",2006,"Chemical and petrochem.",181537.815
"FR",2006,"Coke and ref. pet. products",185146.558
"FR",2006,"Construction",59003.337
"FR",2006,"Food, bev. and tobacco",182745.308
"FR",2006,"Machinery",94794.978
"FR",2006,"Mining and quarrying",17231.606
"FR",2006,"Non-metallic minerals",181326.36
"FR",2006,"Other manufacturing",262538.251
"FR",2006,"Paper, pulp and printing",136071.907
"FR",2006,"Textile and leather",24329.562
"FR",2006,"Transport equipment",54529.828
"FR",2006,"Wood and wood products",18467.632
"FR",2007,"Basic metals",210540.788
"FR",2007,"Chemical and petrochem.",191465.998
"FR",2007,"Coke and ref. pet. products",203509.958
"FR",2007,"Construction",52777.185
"FR",2007,"Food, bev. and tobacco",191701.849
"FR",2007,"Machinery",91963.285
"FR",2007,"Mining and quarrying",15753.294
"FR",2007,"Non-metallic minerals",173685.104
"FR",2007,"Other manufacturing",337140.244
"FR",2007,"Paper, pulp and printing",116952.926
"FR",2007,"Textile and leather",19672.418
"FR",2007,"Transport equipment",54922.661
"FR",2007,"Wood and wood products",19776.034
"FR",2008,"Basic metals",181016.75
"FR",2008,"Chemical and petrochem.",221034.294
"FR",2008,"Coke and ref. pet. products",235003.272
"FR",2008,"Construction",57607.033
"FR",2008,"Food, bev. and tobacco",188990.841
"FR",2008,"Machinery",94042.339
"FR",2008,"Mining and quarrying",10732.206
"FR",2008,"Non-metallic minerals",177760.609
"FR",2008,"Other manufacturing",341748.705
"FR",2008,"Paper, pulp and printing",103900.187
"FR",2008,"Textile and leather",18955.97
"FR",2008,"Transport equipment",48920.733
"FR",2008,"Wood and wood products",24150.71
"FR",2009,"Basic metals",152404.308
"FR",2009,"Chemical and petrochem.",172456.893
"FR",2009,"Coke and ref. pet. products",227568.519
"FR",2009,"Construction",44670.51
"FR",2009,"Food, bev. and tobacco",186407.899
"FR",2009,"Machinery",84355.471
"FR",2009,"Mining and quarrying",12909.873
"FR",2009,"Non-metallic minerals",154536.69
"FR",2009,"Other manufacturing",247568.831
"FR",2009,"Paper, pulp and printing",92893.038
"FR",2009,"Textile and leather",14866.93
"FR",2009,"Transport equipment",45946.92
"FR",2009,"Wood and wood products",25434.194
