"geo","time","sector","GVA"
"FR",2000,"Basic metals",6969.1
"FR",2000,"Chemical and petrochem.",20539.6
"FR",2000,"Coke and ref. pet. products",3154.1
"FR",2000,"Construction",99390.9
"FR",2000,"Food, bev. and tobacco",30416.4
"FR",2000,"Machinery",50156.5
"FR",2000,"Mining and quarrying",3876.8
"FR",2000,"Non-metallic minerals",16867.6
"FR",2000,"Other manufacturing",7574.9
"FR",2000,"Paper, pulp and printing",8633.2
"FR",2000,"Textile and leather",8164.9
"FR",2000,"Transport equipment",28150.8
"FR",2000,"Wood and wood products",2529.4
"FR",2001,"Basic metals",6777.7
"FR",2001,"Chemical and petrochem.",21449.4
"FR",2001,"Coke and ref. pet. products",4089
"FR",2001,"Construction",103626.2
"FR",2001,"Food, bev. and tobacco",29317.1
"FR",2001,"Machinery",50921
"FR",2001,"Mining and quarrying",3446.2
"FR",2001,"Non-metallic minerals",17379.4
"FR",2001,"Other manufacturing",8323.2
"FR",2001,"Paper, pulp and printing",8943.6
"FR",2001,"Textile and leather",8384.6
"FR",2001,"Transport equipment",26916.8
"FR",2001,"Wood and wood products",2761.5
"FR",2002,"Basic metals",7019
"FR",2002,"Chemical and petrochem.",21165.6
"FR",2002,"Coke and ref. pet. products",5578.5
"FR",2002,"Construction",103146.6
"FR",2002,"Food, bev. and tobacco",30166.4
"FR",2002,"Machinery",50069.1
"FR",2002,"Mining and quarrying",3303.8
"FR",2002,"Non-metallic minerals",17726.6
"FR",2002,"Other manufacturing",8077.7
"FR",2002,"Paper, pulp and printing",8615.6
"FR",2002,"Textile and leather",8085.1
"FR",2002,"Transport equipment",25261.2
"FR",2002,"Wood and wood products",3081.7
"FR",2003,"Basic metals",6926.2
"FR",2003,"Chemical and petrochem.",21620.4
"FR",2003,"Coke and ref. pet. products",4177.9
"FR",2003,"Construction",103281.6
"FR",2003,"Food, bev. and tobacco",32037.9
"FR",2003,"Machinery",50130.4
"FR",2003,"Mining and quarrying",2982.9
"FR",2003,"Non-metallic minerals",18777.6
"FR",2003,"Other manufacturing",8028.7
"FR",2003,"Paper, pulp and printing",8540.1
"FR",2003,"Textile and leather",7714.3
"FR",2003,"Transport equipment",27206.6
"FR",2003,"Wood and wood products",3509.6
"FR",2004,"Basic metals",6526.2
"FR",2004,"Chemical and petrochem.",21443.5
"FR",2004,"Coke and ref. pet. products",3593.7
"FR",2004,"Construction",105474.5
"FR",2004,"Food, bev. and tobacco",32769
"FR",2004,"Machinery",53381.7
"FR",2004,"Mining and quarrying",2833.7
"FR",2004,"Non-metallic minerals",19156.2
"FR",2004,"Other manufacturing",8283.5
"FR",2004,"Paper, pulp and printing",8743.7
"FR",2004,"Textile and leather",7353.8
"FR",2004,"Transport equipment",27604.7
"FR",2004,"Wood and wood products",3280.9
"FR",2005,"Basic metals",6174.2
"FR",2005,"Chemical and petrochem.",23253
"FR",2005,"Coke and ref. pet. products",3572.5
"FR",2005,"Construction",108235.3
"FR",2005,"Food, bev. and tobacco",33009.1
"FR",2005,"Machinery",52705.6
"FR",2005,"Mining and quarrying",2631.1
"FR",2005,"Non-metallic minerals",19599.1
"FR",2005,"Other manufacturing",8275
"FR",2005,"Paper, pulp and printing",8768.5
"FR",2005,"Textile and leather",7038.8
"FR",2005,"Transport equipment",29518.7
"FR",2005,"Wood and wood products",3008.4
"FR",2006,"Basic metals",5724.9
"FR",2006,"Chemical and petrochem.",24462.3
"FR",2006,"Coke and ref. pet. products",4599.8
"FR",2006,"Construction",112371
"FR",2006,"Food, bev. and tobacco",32992.8
"FR",2006,"Machinery",55609.1
"FR",2006,"Mining and quarrying",2785.3
"FR",2006,"Non-metallic minerals",20225.9
"FR",2006,"Other manufacturing",8297.6
"FR",2006,"Paper, pulp and printing",8381.5
"FR",2006,"Textile and leather",6719.1
"FR",2006,"Transport equipment",29356.9
"FR",2006,"Wood and wood products",3055.7
"FR",2007,"Basic metals",5807.5
"FR",2007,"Chemical and petrochem.",25118.9
"FR",2007,"Coke and ref. pet. products",4602
"FR",2007,"Construction",118066.6
"FR",2007,"Food, bev. and tobacco",33532.3
"FR",2007,"Machinery",57110.4
"FR",2007,"Mining and quarrying",2869.4
"FR",2007,"Non-metallic minerals",20708.7
"FR",2007,"Other manufacturing",8538.6
"FR",2007,"Paper, pulp and printing",8417.9
"FR",2007,"Textile and leather",6976.9
"FR",2007,"Transport equipment",29530
"FR",2007,"Wood and wood products",3120.7
"FR",2008,"Basic metals",5793.5
"FR",2008,"Chemical and petrochem.",24296.1
"FR",2008,"Coke and ref. pet. products",2728.6
"FR",2008,"Construction",117896.7
"FR",2008,"Food, bev. and tobacco",30739.6
"FR",2008,"Machinery",56142.3
"FR",2008,"Mining and quarrying",2719.6
"FR",2008,"Non-metallic minerals",20180.2
"FR",2008,"Other manufacturing",8072.8
"FR",2008,"Paper, pulp and printing",8427.6
"FR",2008,"Textile and leather",6695.7
"FR",2008,"Transport equipment",28684.6
"FR",2008,"Wood and wood products",3420.6
"FR",2009,"Basic metals",7437.3
"FR",2009,"Chemical and petrochem.",24490.4
"FR",2009,"Coke and ref. pet. products",1972.2
"FR",2009,"Construction",110906.6
