"geo","time","value_delta_total_res","value_energy_consumption_end","value_energy_consumption_baseline","population","household_size","weather","household_consumption","energy_consumption_delta_calc"
"FR",2005,0,1800700.803,1800700.803,0,0,0,0,0
"FR",2006,-25778.611,1774922.192,1800700.803,12332.4490354427,0,0,-38111.0600354427,-25778.611
"FR",2007,-108348.81,1692351.993,1800700.803,22711.5916868455,0,0,-131060.401686846,-108348.81
"FR",2008,48675.351,1849376.154,1800700.803,33792.0894016105,0,0,14883.2615983895,48675.351
"FR",2009,40522.8019999999,1841223.605,1800700.803,42938.3546219027,80941.6389764731,0,-83357.1915983758,40522.802
"FR",2010,100432.688,1901133.491,1800700.803,52628.8309408554,82256.3386322893,169454.902743854,-203907.384316999,100432.688
"FR",2011,-132944.739,1667756.064,1800700.803,57544.1494974967,77051.7434386664,-201319.138753862,-66221.4931823012,-132944.739
"FR",2012,49961.3419999999,1850662.145,1800700.803,69296.1834231551,81149.6944920298,5535.7704095294,-106020.306324714,49961.3419999999
"FR",2013,141327.94,1942028.743,1800700.803,80484.8457451286,83145.9103794968,108777.368538512,-131080.184663138,141327.94
"FR",2014,-224998.95,1575701.853,1800700.803,86336.9251919554,74932.3105515071,-185601.465722314,-200666.720021149,-224998.95
"FR",2015,-126113.342,1674587.461,1800700.803,95134.1269106902,77207.4270659997,-87055.1565231178,-211399.739453572,-126113.342
"FR",2016,-17920.5860000001,1782780.217,1800700.803,102865.924863729,79645.3597820903,-15227.4736495427,-185204.396996276,-17920.5859999997
"FR",2017,-55435.192,1745265.611,1800700.803,106926.417206559,78805.8075616037,-45403.0393382176,-195764.377429945,-55435.1919999998
"FR",2018,-111085.88,1689614.923,1800700.803,111475.514494634,77549.142563989,-125436.848282815,-174673.688775808,-111085.88
"FR",2019,-115779.978,1684920.825,1800700.803,117115.979231984,158488.271783869,-88680.4637649535,-302703.7652509,-115779.978
"FR",2020,-167919.061,1632781.742,1800700.803,120881.878590939,76251.2946692507,-197638.341600203,-167413.892659986,-167919.061
"FR",2021,-17837.764,1782863.039,1800700.803,132660.307830204,79647.2067121965,-12260.4026164799,-217884.87592592,-17837.764
