"geo","time","sector","employment"
"IT",2000,"Agricult., forest. and fish.",1047.3
"IT",2000,"Comm. and pub. services",15501.9
"IT",2000,"Construction",1468.7
"IT",2000,"Manufacturing",4499.6
"IT",2000,"Other industries",290.4
"IT",2001,"Agricult., forest. and fish.",1053.7
"IT",2001,"Comm. and pub. services",15833.9
"IT",2001,"Construction",1574.9
"IT",2001,"Manufacturing",4489.4
"IT",2001,"Other industries",291
"IT",2002,"Agricult., forest. and fish.",1030.1
"IT",2002,"Comm. and pub. services",16199.3
"IT",2002,"Construction",1619.2
"IT",2002,"Manufacturing",4518.8
"IT",2002,"Other industries",296.2
"IT",2003,"Agricult., forest. and fish.",992.5
"IT",2003,"Comm. and pub. services",16521.6
"IT",2003,"Construction",1685.5
"IT",2003,"Manufacturing",4551.9
"IT",2003,"Other industries",297.400000000001
"IT",2004,"Agricult., forest. and fish.",999.5
"IT",2004,"Comm. and pub. services",16641.5
"IT",2004,"Construction",1744.8
"IT",2004,"Manufacturing",4503.3
"IT",2004,"Other industries",294
"IT",2005,"Agricult., forest. and fish.",982.3
"IT",2005,"Comm. and pub. services",16723.1
"IT",2005,"Construction",1836.2
"IT",2005,"Manufacturing",4463.1
"IT",2005,"Other industries",301.799999999999
"IT",2006,"Agricult., forest. and fish.",1000.6
"IT",2006,"Comm. and pub. services",17106.3
"IT",2006,"Construction",1865.3
"IT",2006,"Manufacturing",4501.7
"IT",2006,"Other industries",314.8
"IT",2007,"Agricult., forest. and fish.",968.2
"IT",2007,"Comm. and pub. services",17359.2
"IT",2007,"Construction",1935
"IT",2007,"Manufacturing",4527.3
"IT",2007,"Other industries",312.5
"IT",2008,"Agricult., forest. and fish.",946.1
"IT",2008,"Comm. and pub. services",17480.6
"IT",2008,"Construction",1940.5
"IT",2008,"Manufacturing",4480.3
"IT",2008,"Other industries",310.8
"IT",2009,"Agricult., forest. and fish.",924.7
"IT",2009,"Comm. and pub. services",17324.3
"IT",2009,"Construction",1917.5
"IT",2009,"Manufacturing",4258.5
"IT",2009,"Other industries",311.5
"IT",2010,"Agricult., forest. and fish.",942
"IT",2010,"Comm. and pub. services",17361.1
"IT",2010,"Construction",1883
"IT",2010,"Manufacturing",4097.7
"IT",2010,"Other industries",310.5
"IT",2011,"Agricult., forest. and fish.",925
"IT",2011,"Comm. and pub. services",17511.6
"IT",2011,"Construction",1838.5
"IT",2011,"Manufacturing",4066.9
"IT",2011,"Other industries",312.3
"IT",2012,"Agricult., forest. and fish.",912.7
"IT",2012,"Comm. and pub. services",17622.1
"IT",2012,"Construction",1746.6
"IT",2012,"Manufacturing",3991.8
"IT",2012,"Other industries",319.4
"IT",2013,"Agricult., forest. and fish.",895
"IT",2013,"Comm. and pub. services",17444.2
"IT",2013,"Construction",1614.4
"IT",2013,"Manufacturing",3877.3
"IT",2013,"Other industries",313.099999999999
"IT",2014,"Agricult., forest. and fish.",903.2
"IT",2014,"Comm. and pub. services",17576.5
"IT",2014,"Construction",1549
"IT",2014,"Manufacturing",3804.2
"IT",2014,"Other industries",312.5
"IT",2015,"Agricult., forest. and fish.",921.5
"IT",2015,"Comm. and pub. services",17770
"IT",2015,"Construction",1528
"IT",2015,"Manufacturing",3771
"IT",2015,"Other industries",312.7
"IT",2016,"Agricult., forest. and fish.",952
"IT",2016,"Comm. and pub. services",18048.8
"IT",2016,"Construction",1527.7
"IT",2016,"Manufacturing",3806.1
"IT",2016,"Other industries",316.3
"IT",2017,"Agricult., forest. and fish.",940.9
"IT",2017,"Comm. and pub. services",18340.6
"IT",2017,"Construction",1513.6
"IT",2017,"Manufacturing",3828.4
"IT",2017,"Other industries",317.3
"IT",2018,"Agricult., forest. and fish.",964.4
"IT",2018,"Comm. and pub. services",18527.5
"IT",2018,"Construction",1512.6
"IT",2018,"Manufacturing",3867.3
"IT",2018,"Other industries",322.2
"IT",2019,"Agricult., forest. and fish.",959.3
"IT",2019,"Comm. and pub. services",18655.1
"IT",2019,"Construction",1514.1
"IT",2019,"Manufacturing",3893.3
"IT",2019,"Other industries",327.2
"IT",2020,"Agricult., forest. and fish.",939.6
"IT",2020,"Comm. and pub. services",18213.1
"IT",2020,"Construction",1539
"IT",2020,"Manufacturing",3812.5
"IT",2020,"Other industries",325.9
"IT",2021,"Agricult., forest. and fish.",937.8
"IT",2021,"Comm. and pub. services",18359.1
"IT",2021,"Construction",1623.1
"IT",2021,"Manufacturing",3820
"IT",2021,"Other industries",329.4
