"geo","time","sector","energy_consumption"
"IT",2000,"Agricult., forest. and fish.",132485.1
"IT",2000,"Comm. and pub. services",483248.2
"IT",2000,"Construction",8549.6
"IT",2000,"Manufacturing",1790558.094
"IT",2000,"Other industries",72117.716
"IT",2001,"Agricult., forest. and fish.",137530.3
"IT",2001,"Comm. and pub. services",502143.5
"IT",2001,"Construction",7579.4
"IT",2001,"Manufacturing",1758773
"IT",2001,"Other industries",65403.951
"IT",2002,"Agricult., forest. and fish.",135826
"IT",2002,"Comm. and pub. services",500559.165
"IT",2002,"Construction",6901
"IT",2002,"Manufacturing",1782933.49
"IT",2002,"Other industries",74087.489
"IT",2003,"Agricult., forest. and fish.",137501.3
"IT",2003,"Comm. and pub. services",553413.268
"IT",2003,"Construction",8032
"IT",2003,"Manufacturing",1837976.767
"IT",2003,"Other industries",71522.616
"IT",2004,"Agricult., forest. and fish.",137091.9
"IT",2004,"Comm. and pub. services",563922.8
"IT",2004,"Construction",8520.2
"IT",2004,"Manufacturing",1874108.358
"IT",2004,"Other industries",71044.268
"IT",2005,"Agricult., forest. and fish.",139064.1
"IT",2005,"Comm. and pub. services",630252.3
"IT",2005,"Construction",8798.6
"IT",2005,"Manufacturing",1891254.175
"IT",2005,"Other industries",69923.378
"IT",2006,"Agricult., forest. and fish.",137643.7
"IT",2006,"Comm. and pub. services",651836.4
"IT",2006,"Construction",8623.4
"IT",2006,"Manufacturing",1824646.37
"IT",2006,"Other industries",70619.576
"IT",2007,"Agricult., forest. and fish.",132998.4
"IT",2007,"Comm. and pub. services",635626.4
"IT",2007,"Construction",8562.6
"IT",2007,"Manufacturing",1832696.55
"IT",2007,"Other industries",69534.659
"IT",2008,"Agricult., forest. and fish.",129181
"IT",2008,"Comm. and pub. services",712554.8
"IT",2008,"Construction",8505.8
"IT",2008,"Manufacturing",1754285.309
"IT",2008,"Other industries",71879.65
"IT",2009,"Agricult., forest. and fish.",130715.2
"IT",2009,"Comm. and pub. services",708384.1
"IT",2009,"Construction",8052.8
"IT",2009,"Manufacturing",1479815.116
"IT",2009,"Other industries",60310.994
"IT",2010,"Agricult., forest. and fish.",123105.7
"IT",2010,"Comm. and pub. services",710865
"IT",2010,"Construction",8491.2
"IT",2010,"Manufacturing",1536370.294
"IT",2010,"Other industries",65130.219
"IT",2011,"Agricult., forest. and fish.",122433.1
"IT",2011,"Comm. and pub. services",659478.6
"IT",2011,"Construction",18141.2
"IT",2011,"Manufacturing",1497584.84
"IT",2011,"Other industries",63475.295
"IT",2012,"Agricult., forest. and fish.",118216.2
"IT",2012,"Comm. and pub. services",666979.6
"IT",2012,"Construction",16029.2
"IT",2012,"Manufacturing",1407692.744
"IT",2012,"Other industries",62450.025
"IT",2013,"Agricult., forest. and fish.",116602.4
"IT",2013,"Comm. and pub. services",663462.4
"IT",2013,"Construction",15127.5
"IT",2013,"Manufacturing",1298490.338
"IT",2013,"Other industries",59496.131
"IT",2014,"Agricult., forest. and fish.",116222.7
"IT",2014,"Comm. and pub. services",614064.5
"IT",2014,"Construction",14764.9
"IT",2014,"Manufacturing",1243115.624
"IT",2014,"Other industries",58998.769
"IT",2015,"Agricult., forest. and fish.",119385.7
"IT",2015,"Comm. and pub. services",644409.9
"IT",2015,"Construction",14648
"IT",2015,"Manufacturing",1282443.95
"IT",2015,"Other industries",58227.869
"IT",2016,"Agricult., forest. and fish.",120197.2
"IT",2016,"Comm. and pub. services",646440.5
"IT",2016,"Construction",14852.7
"IT",2016,"Manufacturing",1264737.711
"IT",2016,"Other industries",57060.917
"IT",2017,"Agricult., forest. and fish.",122155.821
"IT",2017,"Comm. and pub. services",763762.999
"IT",2017,"Construction",15931.544
"IT",2017,"Manufacturing",1288122.595
"IT",2017,"Other industries",61863.033
"IT",2018,"Agricult., forest. and fish.",126972.477
"IT",2018,"Comm. and pub. services",795583.849
"IT",2018,"Construction",15000.822
"IT",2018,"Manufacturing",1280159.544
"IT",2018,"Other industries",60810.898
"IT",2019,"Agricult., forest. and fish.",122622.95
"IT",2019,"Comm. and pub. services",761675.233
"IT",2019,"Construction",16324.817
"IT",2019,"Manufacturing",1288220.199
"IT",2019,"Other industries",58812.62
"IT",2020,"Agricult., forest. and fish.",123977.761
"IT",2020,"Comm. and pub. services",693232.324
"IT",2020,"Construction",15745.139
"IT",2020,"Manufacturing",1230777.541
"IT",2020,"Other industries",52921.984
"IT",2021,"Agricult., forest. and fish.",125828.466
"IT",2021,"Comm. and pub. services",677103.353
"IT",2021,"Construction",37704.972
"IT",2021,"Manufacturing",1411143.05
"IT",2021,"Other industries",54514.831
