"geo","time","activity_effect","structural_effect","intensity_effect","energy_consumption_var_obs","value_energy_consumption_total_baseline","value_energy_consumption_total_end","energy_consumption_var_calc"
"IT",2000,0,0,0,0,2486958.71,2486958.71,0
"IT",2001,46835.2296245997,-38896.8096018748,-23466.9790227247,-15528.5589999999,2486958.71,2471430.151,-15528.5589999998
"IT",2002,91839.6112465313,-62612.6237060356,-15878.5535404956,13348.4340000004,2486958.71,2500307.144,13348.4340000001
"IT",2003,134934.657539018,-85401.8641185861,71954.4475795677,121487.241,2486958.71,2608445.951,121487.241
"IT",2004,150433.993208725,-115804.148935716,133098.971726991,167728.816000001,2486958.71,2654687.526,167728.816
"IT",2005,166052.943125209,-143098.657187086,229379.557061876,252333.843,2486958.71,2739292.553,252333.843
"IT",2006,215355.618705803,-157381.772570995,148436.889865192,206410.736,2486958.71,2693369.446,206410.736
"IT",2007,247253.056865838,-176093.694245219,121300.536379381,192459.899,2486958.71,2679418.609,192459.899
"IT",2008,252480.999982046,-195194.613228738,132161.462246693,189447.849,2486958.71,2676406.559,189447.849
"IT",2009,196831.934108479,-230723.959585865,-65788.4745226133,-99680.5,2486958.71,2387278.21,-99680.4999999997
"IT",2010,185110.87199153,-280474.514555328,52367.3455637986,-42996.2970000003,2486958.71,2443962.413,-42996.297
"IT",2011,187944.580826173,-292671.245495896,-21119.0103302771,-125845.675,2486958.71,2361113.035,-125845.675
"IT",2012,178245.839356903,-304493.1065555,-89343.673801403,-215590.941,2486958.71,2271367.769,-215590.941
"IT",2013,131020.865845845,-305361.162486819,-159439.644359026,-333779.941000001,2486958.71,2153178.769,-333779.941
"IT",2014,128058.997723787,-324321.17273343,-243530.041990357,-439792.217,2486958.71,2047166.493,-439792.217
"IT",2015,145064.212109245,-348378.729039605,-164528.774069641,-367843.291,2486958.71,2119115.419,-367843.291
"IT",2016,176804.495157674,-350743.284204841,-209730.892952834,-383669.682,2486958.71,2103289.028,-383669.682
"IT",2017,209583.779845818,-360328.047865537,-84378.4499802813,-235122.718,2486958.71,2251835.992,-235122.718
"IT",2018,234329.336612355,-356443.451805213,-86317.0048071427,-208431.12,2486958.71,2278527.59,-208431.12
"IT",2019,247424.923106768,-357965.975890134,-128761.838216634,-239302.891,2486958.71,2247655.819,-239302.891
"IT",2020,193443.479092703,-353284.717513733,-210462.72257897,-370303.961,2486958.71,2116654.749,-370303.960999999
"IT",2021,224983.787878167,-393017.315782216,-12630.5100959516,-180664.038,2486958.71,2306294.672,-180664.038
