"geo","time","product","energy_consumption","share_energy_consumption"
"IT",2000,"Coal",84810.312,0.046517102440965
"IT",2000,"Oil",480398.3,0.263490799722155
"IT",2000,"Gas",712388.7,0.390733831231347
"IT",2000,"Biofuels and renewable wastes",9529.4,0.00522672379746619
"IT",2000,"Non-renewable wastes",2600,0.00142605850036855
"IT",2000,"Electricity",533480.4,0.292605484307698
"IT",2001,"Coal",63173.118,0.0353942093196104
"IT",2001,"Oil",457732.7,0.256455396047262
"IT",2001,"Gas",707867.1,0.396599013964541
"IT",2001,"Biofuels and renewable wastes",9985.6,0.00559466475252815
"IT",2001,"Non-renewable wastes",2600,0.00145671049877556
"IT",2001,"Electricity",543484.8,0.304500005417282
"IT",2002,"Coal",57951.69,0.031985964294803
"IT",2002,"Oil",488186,0.269450294982298
"IT",2002,"Gas",708698.7,0.391160487536659
"IT",2002,"Biofuels and renewable wastes",9629,0.0053146482905789
"IT",2002,"Non-renewable wastes",2600,0.00143504886857463
"IT",2002,"Electricity",544719.6,0.300653556027087
"IT",2003,"Coal",58622.967,0.0313782904244449
"IT",2003,"Oil",523537.5,0.280226548804461
"IT",2003,"Gas",724380.3,0.387728847486455
"IT",2003,"Biofuels and renewable wastes",9343.2,0.00500100315792057
"IT",2003,"Non-renewable wastes",2600,0.00139166540484989
"IT",2003,"Electricity",549781.2,0.294273644721868
"IT",2004,"Coal",48481.058,0.0254389922582451
"IT",2004,"Oil",501253.3,0.263017750522685
"IT",2004,"Gas",612769.5,0.321532557449318
"IT",2004,"Biofuels and renewable wastes",9208.4,0.00483183383314003
"IT",2004,"Non-renewable wastes",2600,0.00136427261697625
"IT",2004,"Heat",180118,0.0945115597017414
"IT",2004,"Electricity",551347.2,0.289303033617895
"IT",2005,"Coal",67620.075,0.0351652303104864
"IT",2005,"Oil",514245.8,0.267429043715203
"IT",2005,"Gas",592707.6,0.308232418564688
"IT",2005,"Biofuels and renewable wastes",8916,0.00463668804638706
"IT",2005,"Non-renewable wastes",2600,0.00135210732622323
"IT",2005,"Heat",183432,0.0953922119476078
"IT",2005,"Electricity",553402.8,0.287792300089404
"IT",2006,"Coal",47369.87,0.0255011255437422
"IT",2006,"Oil",468168.1,0.25203390876258
"IT",2006,"Gas",569626.2,0.30665292598871
"IT",2006,"Biofuels and renewable wastes",8946.8,0.00481642592674949
"IT",2006,"Non-renewable wastes",2600,0.0013996856316838
"IT",2006,"Heat",198727,0.106982817895241
"IT",2006,"Electricity",562122,0.302613110251294
"IT",2007,"Coal",64723.55,0.0347341569989553
"IT",2007,"Oil",482550.4,0.258962639618943
"IT",2007,"Gas",550567.8,0.295464454650114
"IT",2007,"Biofuels and renewable wastes",7616,0.00408715745202547
"IT",2007,"Non-renewable wastes",2600,0.00139530060074399
"IT",2007,"Heat",194460,0.104357751854106
"IT",2007,"Electricity",560880,0.300998538825111
"IT",2008,"Coal",59863.409,0.033458987630308
"IT",2008,"Oil",470149.3,0.262776876156484
"IT",2008,"Gas",507597.3,0.283707394309565
"IT",2008,"Biofuels and renewable wastes",11747.8,0.00656610609802279
"IT",2008,"Non-renewable wastes",2600,0.00145319769274752
"IT",2008,"Heat",192304,0.107482972733122
"IT",2008,"Electricity",544896,0.30455446537975
"IT",2009,"Coal",25598.016,0.0170134414797158
"IT",2009,"Oil",384283.5,0.255409827029969
"IT",2009,"Gas",431547.3,0.286823194980399
"IT",2009,"Biofuels and renewable wastes",16480.8,0.0109537835408377
"IT",2009,"Non-renewable wastes",2600,0.00172806157505571
"IT",2009,"Heat",174270,0.115826650263445
