"geo","time","sector","energy_consumption"
"IT",2000,"Basic metals",257915.501
"IT",2000,"Chemical and petrochem.",258010.322
"IT",2000,"Coke and ref. pet. products",215495.7
"IT",2000,"Construction",8549.6
"IT",2000,"Food, bev. and tobacco",146358.587
"IT",2000,"Machinery",197774.915
"IT",2000,"Mining and quarrying",24099.418
"IT",2000,"Non-metallic minerals",338699.251
"IT",2000,"Other manufacturing",115962.068
"IT",2000,"Paper, pulp and printing",110544.4
"IT",2000,"Textile and leather",113358.75
"IT",2000,"Transport equipment",16959.6
"IT",2000,"Wood and wood products",19479
"IT",2001,"Basic metals",240059.677
"IT",2001,"Chemical and petrochem.",225482.022
"IT",2001,"Coke and ref. pet. products",237393.1
"IT",2001,"Construction",7579.4
"IT",2001,"Food, bev. and tobacco",149747.487
"IT",2001,"Machinery",201519.335
"IT",2001,"Mining and quarrying",18490.918
"IT",2001,"Non-metallic minerals",319209.071
"IT",2001,"Other manufacturing",124052.158
"IT",2001,"Paper, pulp and printing",112228.6
"IT",2001,"Textile and leather",112516.75
"IT",2001,"Transport equipment",16297.2
"IT",2001,"Wood and wood products",20267.6
"IT",2002,"Basic metals",233936.566
"IT",2002,"Chemical and petrochem.",222397.261
"IT",2002,"Coke and ref. pet. products",249177.4
"IT",2002,"Construction",6901
"IT",2002,"Food, bev. and tobacco",155889.9
"IT",2002,"Machinery",204091.674
"IT",2002,"Mining and quarrying",21950.5
"IT",2002,"Non-metallic minerals",321778.854
"IT",2002,"Other manufacturing",131792.374
"IT",2002,"Paper, pulp and printing",113843.174
"IT",2002,"Textile and leather",113774.487
"IT",2002,"Transport equipment",15958.8
"IT",2002,"Wood and wood products",20293
"IT",2003,"Basic metals",235024.927
"IT",2003,"Chemical and petrochem.",241286.174
"IT",2003,"Coke and ref. pet. products",240468
"IT",2003,"Construction",8032
"IT",2003,"Food, bev. and tobacco",158194.3
"IT",2003,"Machinery",207041.2
"IT",2003,"Mining and quarrying",22256.4
"IT",2003,"Non-metallic minerals",354332.566
"IT",2003,"Other manufacturing",134349.7
"IT",2003,"Paper, pulp and printing",117136.7
"IT",2003,"Textile and leather",114057.4
"IT",2003,"Transport equipment",15868.8
"IT",2003,"Wood and wood products",20217
"IT",2004,"Basic metals",235886.998
"IT",2004,"Chemical and petrochem.",232278.561
"IT",2004,"Coke and ref. pet. products",272215.7
"IT",2004,"Construction",8520.2
"IT",2004,"Food, bev. and tobacco",152639.8
"IT",2004,"Machinery",203921.6
"IT",2004,"Mining and quarrying",23148.9
"IT",2004,"Non-metallic minerals",369031.399
"IT",2004,"Other manufacturing",140110.8
"IT",2004,"Paper, pulp and printing",120050.1
"IT",2004,"Textile and leather",106940.8
"IT",2004,"Transport equipment",19952.8
"IT",2004,"Wood and wood products",21079.8
"IT",2005,"Basic metals",253701.99
"IT",2005,"Chemical and petrochem.",227123.661
"IT",2005,"Coke and ref. pet. products",292597.2
"IT",2005,"Construction",8798.6
"IT",2005,"Food, bev. and tobacco",144194.1
"IT",2005,"Machinery",200710.2
"IT",2005,"Mining and quarrying",22871.5
"IT",2005,"Non-metallic minerals",372337.424
"IT",2005,"Other manufacturing",145094.7
"IT",2005,"Paper, pulp and printing",114567.1
"IT",2005,"Textile and leather",99774.4
"IT",2005,"Transport equipment",20032.6
"IT",2005,"Wood and wood products",21120.8
"IT",2006,"Basic metals",245594.71
"IT",2006,"Chemical and petrochem.",216857.261
"IT",2006,"Coke and ref. pet. products",280756.9
"IT",2006,"Construction",8623.4
"IT",2006,"Food, bev. and tobacco",137846.2
"IT",2006,"Machinery",200590.7
"IT",2006,"Mining and quarrying",24290.2
"IT",2006,"Non-metallic minerals",341346.699
"IT",2006,"Other manufacturing",147835.2
"IT",2006,"Paper, pulp and printing",116036.9
"IT",2006,"Textile and leather",94533.2
"IT",2006,"Transport equipment",20685.6
"IT",2006,"Wood and wood products",22563
"IT",2007,"Basic metals",239514.793
"IT",2007,"Chemical and petrochem.",237579.337
"IT",2007,"Coke and ref. pet. products",296299.4
"IT",2007,"Construction",8562.6
"IT",2007,"Food, bev. and tobacco",133597.7
"IT",2007,"Machinery",198917.7
"IT",2007,"Mining and quarrying",22138.6
"IT",2007,"Non-metallic minerals",340084.72
"IT",2007,"Other manufacturing",147207
"IT",2007,"Paper, pulp and printing",118799.7
"IT",2007,"Textile and leather",79880.2
