"geo","time","activity_effect","structural_effect","intensity_effect","energy_consumption_var_obs","value_energy_consumption_total_baseline","value_energy_consumption_total_end","energy_consumption_var_calc"
"IT",2000,0,0,0,0,1823207.112,1823207.112,0
"IT",2001,15399.9586810634,4058.27789437461,-57822.0305754381,-38363.7940000002,1823207.112,1784843.318,-38363.7940000001
"IT",2002,22692.7375063659,20831.9993414217,-54946.8588477877,-11422.122,1823207.112,1811784.99,-11422.1220000001
"IT",2003,-2520.90573312792,-15721.5360910359,63300.496824164,45058.0549999999,1823207.112,1868265.167,45058.0550000002
"IT",2004,22350.9262597385,-134822.164711806,195041.584452068,82570.3460000001,1823207.112,1905777.458,82570.346
"IT",2005,32847.6275799298,-142913.989850002,209783.525270073,99717.1630000002,1823207.112,1922924.275,99717.1630000002
"IT",2006,101786.140415759,-156794.979929699,89361.6975139397,34352.858,1823207.112,1857559.97,34352.858
"IT",2007,141234.386433926,-149598.685186892,48554.936752966,40190.6379999998,1823207.112,1863397.75,40190.6380000001
"IT",2008,81187.4915916356,-179716.258184275,64479.4635926392,-34049.3030000001,1823207.112,1789157.809,-34049.3029999998
"IT",2009,-221461.15624679,-283640.967575944,186471.027822734,-318631.096,1823207.112,1504576.016,-318631.096
"IT",2010,-141522.255812544,-202074.373976345,86937.6117888886,-256659.018,1823207.112,1566548.094,-256659.018
"IT",2011,-127895.780230915,-152592.473533966,-6290.01823511926,-286778.272,1823207.112,1536428.84,-286778.272
"IT",2012,-210801.939513628,-100250.893339302,-69240.9351470708,-380293.768,1823207.112,1442913.344,-380293.768
"IT",2013,-241924.589111749,-109967.905335235,-139550.179553016,-491442.674,1823207.112,1331764.438,-491442.674
"IT",2014,-260812.373287449,-258484.253098885,-27726.6616136654,-547023.288,1823207.112,1276183.824,-547023.288
"IT",2015,-238620.815499485,106436.022748071,-375787.169248585,-507971.962,1823207.112,1315235.15,-507971.962
"IT",2016,-200226.099339223,18193.6424836349,-342912.544144412,-524945.001,1823207.112,1298262.111,-524945.001
"IT",2017,-153112.240928233,-113170.52722939,-232036.166842377,-498318.935,1823207.112,1324888.177,-498318.935
"IT",2018,-137387.297869338,-335761.445524315,-32908.8336063472,-506057.577,1823207.112,1317149.535,-506057.577
"IT",2019,-133919.332866797,-330023.09271123,-35902.8264219729,-499845.252,1823207.112,1323361.86,-499845.252
"IT",2020,-311457.762378104,-413220.657917294,164238.912295398,-560439.508,1823207.112,1262767.604,-560439.508
"IT",2021,-56777.8774528379,-101076.995081232,-202175.03546593,-360029.908,1823207.112,1463177.204,-360029.908
