"geo","time","value_delta_total_res","value_energy_consumption_end","value_energy_consumption_baseline","population","household_size","weather","household_consumption","energy_consumption_delta_calc"
"IT",2005,0,1420228.257,1420228.257,0,0,0,0,0
"IT",2006,-62713.5,1357514.757,1420228.257,5555.64331220016,0,0,-68269.1433122001,-62713.5
"IT",2007,-66234.946,1353993.311,1420228.257,13986.0247381881,0,0,-80220.9707381881,-66234.946
"IT",2008,-12971.6099999999,1407256.647,1420228.257,25161.1531822296,57711.3817424866,0,-95844.144924716,-12971.6099999998
"IT",2009,4985.07499999995,1425213.332,1420228.257,33569.2931745373,58078.2410563301,0,-86662.4592308674,4985.0750000001
"IT",2010,61602.1610000001,1481830.418,1420228.257,40647.9966369649,59225.0139004468,0,-38270.8495374115,61602.1610000002
"IT",2011,-64623.497,1355604.76,1420228.257,43682.4620241481,56647.2826184352,0,-164953.241642583,-64623.4969999997
"IT",2012,17867.855,1438096.112,1420228.257,48897.0417356374,58340.4909215594,0,-89369.6776571966,17867.8550000003
"IT",2013,12939.3430000001,1433167.6,1420228.257,51663.168009962,58240.2558034366,0,-96964.0808133981,12939.3430000005
"IT",2014,-183197.157,1237031.1,1420228.257,48235.9586073672,54151.2739380408,0,-285584.389545408,-183197.157
"IT",2015,-59749.257,1360479,1420228.257,48448.1625001876,56748.2723331546,-88078.5814685939,-76867.110364748,-59749.2569999997
"IT",2016,-72702.4569999999,1347525.8,1420228.257,45588.7945688579,115363.349010687,-113997.230354174,-119657.370225371,-72702.4569999999
"IT",2017,-42828.058,1377400.199,1420228.257,43456.8930974059,116626.268954662,-50872.8736950567,-152038.346357012,-42828.058
"IT",2018,-84406.2989999999,1335821.958,1420228.257,39927.4073421997,114866.01788672,-120851.86644635,-118347.857782569,-84406.2990000001
"IT",2019,-116528.461,1303699.796,1420228.257,36078.5994689264,113493.44127074,-81533.5059769643,-184566.995762702,-116528.461
"IT",2020,-136723.204,1283505.053,1420228.257,29223.1649300251,112624.669691799,-115580.235509464,-162990.80311236,-136723.204
"IT",2021,-104398.866,1315829.391,1420228.257,22533.28501668,114013.064280055,-31646.7143053798,-209298.500991355,-104398.866
