"geo","time","product","energy_consumption","share_energy_consumption"
"NL",2012,"Gasoline",164224.2,0.348234108584799
"NL",2012,"Biogasoline",5211,0.0110498205491967
"NL",2012,"Diesel",274190.4,0.581415220938872
"NL",2012,"Biodiesel",7881,0.0167115017747494
"NL",2012,"LPG",12745.272,0.0270260925831321
"NL",2012,"Gas",992.697,0.00210499399534176
"NL",2012,"Electricity",6346.8,0.0134582615739093
"NL",2013,"Gasoline",160072,0.355676876880784
"NL",2013,"Biogasoline",5238,0.0116387343264378
"NL",2013,"Diesel",258076.8,0.573441640133108
"NL",2013,"Biodiesel",7289,0.0161960165149685
"NL",2013,"LPG",11976.94,0.0266125281984891
"NL",2013,"Gas",1096.196,0.00243572623400225
"NL",2013,"Electricity",6300,0.0139984777122104
"NL",2014,"Gasoline",155169.3,0.373985934864694
"NL",2014,"Biogasoline",5373,0.0129498968418882
"NL",2014,"Diesel",228441.6,0.550585362813305
"NL",2014,"Biodiesel",9250,0.0222941644867794
"NL",2014,"LPG",9219.984,0.0222218205255648
"NL",2014,"Gas",1275.296,0.00307369284252236
"NL",2014,"Electricity",6177.6,0.0148891276252463
"NL",2015,"Gasoline",158499.407,0.377550820001406
"NL",2015,"Biogasoline",5950.476,0.0141742302745567
"NL",2015,"Diesel",232939.898,0.554870527060987
"NL",2015,"Biodiesel",6374.212,0.0151835834153172
"NL",2015,"LPG",8032.8,0.0191343947861414
"NL",2015,"Gas",1510.159,0.00359724859275028
"NL",2015,"Electricity",6502.511,0.0154891958688411
"NL",2016,"Gasoline",163637.235,0.390064527712657
"NL",2016,"Biogasoline",5048.784,0.0120348620317571
"NL",2016,"Diesel",229619.989,0.547348606584989
"NL",2016,"Biodiesel",4828.944,0.0115108261314173
"NL",2016,"LPG",7593.14,0.018099881533418
"NL",2016,"Gas",1868.669,0.00445437428062313
"NL",2016,"Electricity",6916.482,0.0164869217251385
