"geo","time","product","energy_consumption","share_energy_consumption"
"RO",2012,"Gasoline",55736.31,0.252935087613139
"RO",2012,"Biogasoline",2484,0.011272557469826
"RO",2012,"Diesel",150007.725,0.680745048703847
"RO",2012,"Biodiesel",5369.923,0.0243690682874559
"RO",2012,"LPG",2406.8,0.010922218727205
"RO",2012,"Solid biofuels and wastes",1,4.53806661426168e-06
"RO",2012,"Electricity",4352.4,0.0197514811319125
"RO",2013,"Gasoline",53082.2,0.246725616616618
"RO",2013,"Biogasoline",2331.6,0.0108372570787064
"RO",2013,"Diesel",147334.32,0.68480867316709
"RO",2013,"Biodiesel",6186.115,0.0287530101961921
"RO",2013,"LPG",2214.256,0.0102918431592332
"RO",2013,"Solid biofuels and wastes",13,6.04238900425385e-05
"RO",2013,"Electricity",3985.2,0.0185231758921173
"RO",2014,"Gasoline",56693.53,0.258566198272917
"RO",2014,"Biogasoline",1742,0.00794486279812568
"RO",2014,"Diesel",149371.2,0.68124781285384
"RO",2014,"Biodiesel",5235.315,0.0238770719747241
"RO",2014,"LPG",2454.936,0.0111964005156024
"RO",2014,"Solid biofuels and wastes",13,5.92900208815349e-05
"RO",2014,"Electricity",3751.2,0.0171083635639087
"RO",2015,"Gasoline",53125.71,0.239310718663795
"RO",2015,"Biogasoline",2572.8,0.011589466135666
"RO",2015,"Diesel",153911.745,0.693312716324145
"RO",2015,"Biodiesel",5904.56,0.0265977527075591
"RO",2015,"LPG",2647.48,0.0119258705709161
"RO",2015,"Solid biofuels and wastes",2,9.00922429700403e-06
"RO",2015,"Electricity",3830.4,0.0172544663736221
"RO",2016,"Gasoline",55518.76,0.232341263640289
"RO",2016,"Biogasoline",3403.6,0.0142437749857181
"RO",2016,"Diesel",165835.98,0.69400939700789
"RO",2016,"Biodiesel",7363.128,0.0308140611185336
"RO",2016,"LPG",3128.84,0.0130939278782214
"RO",2016,"Solid biofuels and wastes",6,2.51094869885735e-05
"RO",2016,"Electricity",3697.2,0.015472465882359
